Numero,Zona,Cliente,Producto,Cantidad,Precio
1,Norte,UrbanSphere Co,Naranja,52,8
2,Online,EcoWave Industries,Naranja,196,8
3,Centro,GreenField Enterprises,Uva,435,7
4,Norte,Orion Ventures,Mango,641,4
5,Sur,NovaLink Group,Pera,48,10
6,Sur,ClearStream Solutions,Pera,313,10
7,Online,Infinity Networks,Cereza,991,2
8,Centro,GreenField Enterprises,Fresa,145,2
9,Norte,Infinity Networks,Banana,21,9
10,Sur,Luminex Corp,Manzana,320,2
11,Online,SummitWorks Inc,Pera,835,10
12,Centro,CrystalPoint Ltd,Pera,505,10
13,Norte,TechNova Solutions,Mango,604,4
14,Norte,Infinity Networks,Fresa,230,2
15,Norte,Infinity Networks,Pera,540,10
16,Centro,AeroGlide Systems,Mango,904,4
17,Norte,UrbanSphere Co,Pera,298,10
18,Norte,NovaLink Group,Banana,157,9
19,Sur,Luminex Corp,Mango,61,4
20,Centro,NovaLink Group,Piña,649,8
21,Centro,Skyline Dynamics,Banana,332,9
22,Online,Skyline Dynamics,Cereza,90,2
23,Online,NexaGlobal,Fresa,370,2
24,Online,AeroGlide Systems,Naranja,184,8
25,Norte,Orion Ventures,Banana,603,9
26,Online,Orion Ventures,Pera,656,10
27,Centro,Pioneer Robotics,Kiwi,925,3
28,Online,AeroGlide Systems,Uva,747,7
29,Centro,SummitWorks Inc,Uva,951,7
30,Centro,EcoWave Industries,Piña,131,8
31,Online,SummitWorks Inc,Kiwi,654,3
32,Online,UrbanSphere Co,Piña,104,8
33,Online,Solaris Innovations,Manzana,152,2
34,Sur,SummitWorks Inc,Mango,957,4
35,Norte,EcoWave Industries,Mango,176,4
36,Online,BluePeak Technologies,Banana,960,9
37,Online,QuantumEdge LLC,Kiwi,632,3
38,Centro,Pioneer Robotics,Fresa,295,2
39,Sur,AstraCore Tech,Banana,966,9
40,Centro,NexaGlobal,Banana,932,9
41,Online,CrystalPoint Ltd,Piña,891,8
42,Sur,Luminex Corp,Uva,925,7
43,Online,UrbanSphere Co,Banana,132,9
44,Centro,AeroGlide Systems,Kiwi,32,3
45,Norte,NexaGlobal,Mango,821,4
46,Online,ClearStream Solutions,Banana,562,9
47,Sur,EcoWave Industries,Banana,107,9
48,Sur,NovaLink Group,Uva,484,7
49,Online,CrystalPoint Ltd,Uva,604,7
50,Norte,NexaGlobal,Mango,219,4
51,Sur,TechNova Solutions,Naranja,763,8
52,Norte,Pioneer Robotics,Cereza,534,2
53,Centro,Orion Ventures,Fresa,720,2
54,Norte,Solaris Innovations,Mango,259,4
55,Sur,UrbanSphere Co,Pera,44,10
56,Norte,Pioneer Robotics,Fresa,656,2
57,Centro,QuantumEdge LLC,Cereza,946,2
58,Online,BluePeak Technologies,Mango,493,4
59,Online,Pioneer Robotics,Banana,453,9
60,Online,NovaLink Group,Piña,142,8
61,Centro,Vertex Labs,Kiwi,816,3
62,Centro,Luminex Corp,Naranja,146,8
63,Centro,UrbanSphere Co,Cereza,460,2
64,Norte,Pioneer Robotics,Pera,57,10
65,Online,TechNova Solutions,Kiwi,425,3
66,Norte,BluePeak Technologies,Fresa,800,2
67,Sur,QuantumEdge LLC,Kiwi,976,3
68,Online,GreenField Enterprises,Naranja,741,8
69,Online,BluePeak Technologies,Pera,157,10
70,Centro,ClearStream Solutions,Fresa,712,2
71,Norte,UrbanSphere Co,Kiwi,794,3
72,Norte,Infinity Networks,Fresa,822,2
73,Centro,TechNova Solutions,Fresa,911,2
74,Norte,UrbanSphere Co,Kiwi,931,3
75,Centro,UrbanSphere Co,Banana,526,9
76,Sur,Orion Ventures,Fresa,149,2
77,Sur,NovaLink Group,Banana,359,9
78,Sur,CrystalPoint Ltd,Kiwi,27,3
79,Centro,AstraCore Tech,Piña,122,8
80,Centro,AstraCore Tech,Manzana,424,2
81,Norte,Orion Ventures,Cereza,796,2
82,Norte,EcoWave Industries,Piña,116,8
83,Centro,GreenField Enterprises,Uva,274,7
84,Online,Infinity Networks,Uva,488,7
85,Online,AeroGlide Systems,Piña,810,8
86,Norte,Luminex Corp,Fresa,303,2
87,Centro,BluePeak Technologies,Fresa,278,2
88,Online,Orion Ventures,Naranja,856,8
89,Norte,Solaris Innovations,Naranja,228,8
90,Centro,QuantumEdge LLC,Banana,595,9
91,Centro,QuantumEdge LLC,Cereza,47,2
92,Sur,UrbanSphere Co,Uva,679,7
93,Centro,AeroGlide Systems,Kiwi,241,3
94,Sur,Orion Ventures,Kiwi,922,3
95,Centro,Vertex Labs,Mango,194,4
96,Sur,NexaGlobal,Naranja,218,8
97,Sur,Infinity Networks,Kiwi,272,3
98,Online,AeroGlide Systems,Fresa,78,2
99,Centro,NovaLink Group,Piña,46,8
100,Sur,AeroGlide Systems,Uva,96,7
101,Centro,BluePeak Technologies,Naranja,350,8
102,Norte,NexaGlobal,Piña,354,8
103,Sur,SummitWorks Inc,Kiwi,663,3
104,Centro,NovaLink Group,Fresa,206,2
105,Centro,Pioneer Robotics,Pera,509,10
106,Centro,Skyline Dynamics,Mango,279,4
107,Sur,Orion Ventures,Pera,558,10
108,Sur,Infinity Networks,Naranja,116,8
109,Centro,Infinity Networks,Manzana,933,2
110,Sur,Skyline Dynamics,Mango,606,4
111,Sur,UrbanSphere Co,Naranja,150,8
112,Centro,SummitWorks Inc,Kiwi,663,3
113,Online,Vertex Labs,Kiwi,998,3
114,Norte,AeroGlide Systems,Uva,253,7
115,Sur,BluePeak Technologies,Fresa,124,2
116,Norte,Luminex Corp,Fresa,593,2
117,Centro,SummitWorks Inc,Banana,381,9
118,Sur,EcoWave Industries,Pera,103,10
119,Norte,TechNova Solutions,Manzana,582,2
120,Norte,QuantumEdge LLC,Fresa,234,2
121,Norte,EcoWave Industries,Naranja,544,8
122,Online,Skyline Dynamics,Fresa,747,2
123,Centro,AstraCore Tech,Piña,883,8
124,Sur,EcoWave Industries,Pera,901,10
125,Online,AeroGlide Systems,Kiwi,984,3
126,Centro,AstraCore Tech,Cereza,795,2
127,Sur,Infinity Networks,Kiwi,498,3
128,Sur,Solaris Innovations,Manzana,229,2
129,Online,TechNova Solutions,Kiwi,430,3
130,Centro,Orion Ventures,Piña,145,8
131,Sur,SummitWorks Inc,Fresa,943,2
132,Norte,AstraCore Tech,Uva,448,7
133,Norte,NexaGlobal,Naranja,203,8
134,Online,NexaGlobal,Piña,205,8
135,Sur,TechNova Solutions,Uva,407,7
136,Centro,UrbanSphere Co,Kiwi,372,3
137,Online,NexaGlobal,Fresa,858,2
138,Sur,TechNova Solutions,Manzana,303,2
139,Sur,Pioneer Robotics,Naranja,304,8
140,Norte,SummitWorks Inc,Banana,42,9
141,Centro,GreenField Enterprises,Mango,895,4
142,Online,UrbanSphere Co,Manzana,382,2
143,Centro,GreenField Enterprises,Banana,356,9
144,Sur,Skyline Dynamics,Banana,188,9
145,Norte,TechNova Solutions,Cereza,449,2
146,Sur,Infinity Networks,Cereza,629,2
147,Centro,CrystalPoint Ltd,Uva,586,7
148,Online,Skyline Dynamics,Naranja,388,8
149,Sur,EcoWave Industries,Kiwi,715,3
150,Sur,AeroGlide Systems,Pera,676,10
151,Centro,BluePeak Technologies,Mango,64,4
152,Centro,Luminex Corp,Mango,432,4
153,Centro,NexaGlobal,Pera,215,10
154,Sur,UrbanSphere Co,Kiwi,431,3
155,Centro,NovaLink Group,Piña,93,8
156,Sur,NexaGlobal,Cereza,644,2
157,Centro,CrystalPoint Ltd,Kiwi,741,3
158,Online,CrystalPoint Ltd,Pera,184,10
159,Centro,GreenField Enterprises,Mango,136,4
160,Sur,AstraCore Tech,Pera,682,10
161,Centro,GreenField Enterprises,Naranja,272,8
162,Centro,Luminex Corp,Mango,720,4
163,Online,NovaLink Group,Fresa,290,2
164,Online,AstraCore Tech,Naranja,230,8
165,Sur,AeroGlide Systems,Pera,453,10
166,Sur,Solaris Innovations,Banana,797,9
167,Centro,AeroGlide Systems,Manzana,677,2
168,Sur,TechNova Solutions,Pera,287,10
169,Norte,Skyline Dynamics,Fresa,443,2
170,Online,AeroGlide Systems,Mango,494,4
171,Centro,GreenField Enterprises,Piña,646,8
172,Centro,QuantumEdge LLC,Mango,468,4
173,Online,EcoWave Industries,Banana,422,9
174,Norte,UrbanSphere Co,Cereza,310,2
175,Centro,Luminex Corp,Fresa,187,2
176,Online,BluePeak Technologies,Naranja,466,8
177,Online,NexaGlobal,Fresa,327,2
178,Centro,GreenField Enterprises,Cereza,438,2
179,Sur,QuantumEdge LLC,Kiwi,415,3
180,Online,NexaGlobal,Piña,299,8
181,Online,TechNova Solutions,Fresa,468,2
182,Online,GreenField Enterprises,Naranja,676,8
183,Centro,BluePeak Technologies,Piña,549,8
184,Norte,Pioneer Robotics,Mango,619,4
185,Online,Pioneer Robotics,Cereza,442,2
186,Centro,EcoWave Industries,Manzana,39,2
187,Norte,BluePeak Technologies,Kiwi,609,3
188,Online,TechNova Solutions,Naranja,399,8
189,Norte,SummitWorks Inc,Fresa,910,2
190,Online,BluePeak Technologies,Manzana,65,2
191,Online,AstraCore Tech,Manzana,242,2
192,Norte,Vertex Labs,Cereza,215,2
193,Sur,NovaLink Group,Manzana,456,2
194,Sur,GreenField Enterprises,Kiwi,492,3
195,Norte,QuantumEdge LLC,Pera,416,10
196,Norte,Pioneer Robotics,Manzana,310,2
197,Online,Orion Ventures,Piña,701,8
198,Sur,QuantumEdge LLC,Pera,852,10
199,Sur,AeroGlide Systems,Fresa,181,2
200,Online,Luminex Corp,Mango,623,4
201,Norte,ClearStream Solutions,Uva,908,7
202,Norte,UrbanSphere Co,Naranja,243,8
203,Sur,UrbanSphere Co,Pera,127,10
204,Centro,Orion Ventures,Uva,937,7
205,Online,Solaris Innovations,Uva,264,7
206,Online,ClearStream Solutions,Cereza,228,2
207,Sur,Infinity Networks,Manzana,82,2
208,Sur,Vertex Labs,Banana,753,9
209,Centro,UrbanSphere Co,Uva,183,7
210,Norte,EcoWave Industries,Manzana,591,2
211,Centro,NexaGlobal,Mango,815,4
212,Online,QuantumEdge LLC,Fresa,786,2
213,Centro,AstraCore Tech,Naranja,611,8
214,Online,EcoWave Industries,Naranja,621,8
215,Online,CrystalPoint Ltd,Uva,689,7
216,Sur,Solaris Innovations,Fresa,224,2
217,Online,NexaGlobal,Kiwi,702,3
218,Online,SummitWorks Inc,Banana,84,9
219,Centro,Pioneer Robotics,Uva,248,7
220,Online,QuantumEdge LLC,Uva,752,7
221,Sur,NovaLink Group,Cereza,786,2
222,Centro,NovaLink Group,Naranja,939,8
223,Centro,UrbanSphere Co,Uva,251,7
224,Norte,ClearStream Solutions,Uva,599,7
225,Norte,Pioneer Robotics,Naranja,847,8
226,Online,CrystalPoint Ltd,Uva,173,7
227,Sur,Pioneer Robotics,Pera,566,10
228,Centro,Vertex Labs,Kiwi,369,3
229,Centro,Vertex Labs,Fresa,32,2
230,Sur,Solaris Innovations,Piña,102,8
231,Sur,Luminex Corp,Fresa,413,2
232,Sur,EcoWave Industries,Fresa,605,2
233,Online,AeroGlide Systems,Mango,252,4
234,Norte,EcoWave Industries,Kiwi,942,3
235,Norte,ClearStream Solutions,Manzana,682,2
236,Sur,BluePeak Technologies,Cereza,337,2
237,Norte,Pioneer Robotics,Manzana,520,2
238,Norte,NovaLink Group,Mango,230,4
239,Centro,Vertex Labs,Manzana,973,2
240,Online,GreenField Enterprises,Mango,822,4
241,Online,NovaLink Group,Naranja,546,8
242,Online,Vertex Labs,Banana,259,9
243,Sur,AeroGlide Systems,Uva,414,7
244,Online,Solaris Innovations,Fresa,927,2
245,Centro,CrystalPoint Ltd,Kiwi,239,3
246,Online,BluePeak Technologies,Cereza,957,2
247,Sur,Pioneer Robotics,Mango,122,4
248,Norte,TechNova Solutions,Pera,170,10
249,Centro,QuantumEdge LLC,Cereza,538,2
250,Centro,Solaris Innovations,Fresa,501,2
251,Online,AstraCore Tech,Uva,631,7
252,Centro,NovaLink Group,Mango,486,4
253,Centro,ClearStream Solutions,Pera,922,10
254,Norte,ClearStream Solutions,Banana,787,9
255,Sur,Solaris Innovations,Kiwi,901,3
256,Norte,NexaGlobal,Uva,30,7
257,Norte,GreenField Enterprises,Kiwi,136,3
258,Sur,Luminex Corp,Manzana,110,2
259,Sur,NovaLink Group,Manzana,945,2
260,Online,Skyline Dynamics,Banana,417,9
261,Online,ClearStream Solutions,Cereza,637,2
262,Centro,TechNova Solutions,Mango,374,4
263,Norte,Skyline Dynamics,Naranja,980,8
264,Online,Skyline Dynamics,Fresa,515,2
265,Centro,Vertex Labs,Pera,152,10
266,Norte,AstraCore Tech,Cereza,93,2
267,Centro,AstraCore Tech,Fresa,601,2
268,Centro,AeroGlide Systems,Kiwi,911,3
269,Norte,Orion Ventures,Banana,528,9
270,Sur,GreenField Enterprises,Mango,800,4
271,Online,AstraCore Tech,Banana,85,9
272,Centro,SummitWorks Inc,Manzana,150,2
273,Sur,Vertex Labs,Manzana,317,2
274,Online,Infinity Networks,Cereza,69,2
275,Online,ClearStream Solutions,Cereza,512,2
276,Online,TechNova Solutions,Fresa,890,2
277,Sur,Orion Ventures,Manzana,71,2
278,Centro,Pioneer Robotics,Naranja,136,8
279,Norte,Infinity Networks,Manzana,814,2
280,Centro,NexaGlobal,Manzana,201,2
281,Norte,BluePeak Technologies,Uva,18,7
282,Centro,Pioneer Robotics,Uva,649,7
283,Sur,UrbanSphere Co,Pera,156,10
284,Centro,Solaris Innovations,Fresa,382,2
285,Sur,BluePeak Technologies,Manzana,441,2
286,Online,BluePeak Technologies,Naranja,61,8
287,Sur,Orion Ventures,Uva,735,7
288,Centro,Pioneer Robotics,Naranja,990,8
289,Online,Vertex Labs,Kiwi,136,3
290,Centro,TechNova Solutions,Uva,678,7
291,Centro,Infinity Networks,Banana,999,9
292,Sur,GreenField Enterprises,Uva,602,7
293,Sur,AeroGlide Systems,Cereza,531,2
