fecha,sku,producto,cantidad,precio_unitario,total,cliente_id,region,canal
2026-03-01,SKU-009,Almendras 200g,9,5490,49410,C-1351,Coquimbo,tienda
2026-03-01,SKU-007,Aceite oliva 500ml,8,7990,63920,C-1054,Maule,marketplace
2026-03-01,SKU-003,Yerba mate 500g,7,2990,20930,C-1445,Coquimbo,tienda
2026-03-01,SKU-005,Galletas integrales,9,1290,11610,C-1063,Maule,marketplace
2026-03-01,SKU-004,Chocolate amargo 70%,5,1990,9950,C-1484,Valparaíso,tienda
2026-03-01,SKU-009,Almendras 200g,3,5490,16470,C-1208,Coquimbo,telefono
2026-03-02,SKU-007,Aceite oliva 500ml,12,7990,95880,C-1173,O'Higgins,web
2026-03-02,SKU-009,Almendras 200g,4,5490,21960,C-1469,O'Higgins,web
2026-03-02,SKU-005,Galletas integrales,7,1290,9030,C-1167,Valparaíso,telefono
2026-03-02,SKU-001,Café molido 250g,9,4990,44910,C-1149,Coquimbo,tienda
2026-03-02,SKU-001,Café molido 250g,5,4990,24950,C-1252,Metropolitana,web
2026-03-02,SKU-007,Aceite oliva 500ml,5,7990,39950,C-1097,Metropolitana,telefono
2026-03-02,SKU-006,Miel de abeja 500g,4,5990,23960,C-1064,O'Higgins,tienda
2026-03-02,SKU-008,Quinoa 500g,7,4490,31430,C-1218,Coquimbo,web
2026-03-02,SKU-006,Miel de abeja 500g,5,5990,29950,C-1039,Coquimbo,web
2026-03-02,SKU-005,Galletas integrales,4,1290,5160,C-1022,O'Higgins,tienda
2026-03-02,SKU-005,Galletas integrales,7,1290,9030,C-1442,Antofagasta,telefono
2026-03-02,SKU-001,Café molido 250g,5,4990,24950,C-1253,Antofagasta,telefono
2026-03-03,SKU-008,Quinoa 500g,2,4490,8980,C-1389,Antofagasta,tienda
2026-03-03,SKU-006,Miel de abeja 500g,1,5990,5990,C-1301,Antofagasta,tienda
2026-03-03,SKU-004,Chocolate amargo 70%,3,1990,5970,C-1208,Maule,telefono
2026-03-03,SKU-009,Almendras 200g,4,5490,21960,C-1259,Biobío,tienda
2026-03-03,SKU-007,Aceite oliva 500ml,5,7990,39950,C-1022,Metropolitana,marketplace
2026-03-03,SKU-004,Chocolate amargo 70%,11,1990,21890,C-1158,Valparaíso,tienda
2026-03-03,SKU-007,Aceite oliva 500ml,7,7990,55930,C-1169,Antofagasta,telefono
2026-03-03,SKU-007,Aceite oliva 500ml,3,7990,23970,C-1443,Maule,tienda
2026-03-03,SKU-004,Chocolate amargo 70%,2,1990,3980,C-1236,Metropolitana,tienda
2026-03-03,SKU-008,Quinoa 500g,5,4490,22450,C-1173,Antofagasta,telefono
2026-03-03,SKU-008,Quinoa 500g,6,4490,26940,C-1300,Biobío,telefono
2026-03-03,SKU-005,Galletas integrales,6,1290,7740,C-1382,Maule,tienda
2026-03-03,SKU-004,Chocolate amargo 70%,11,1990,21890,C-1327,Antofagasta,web
2026-03-03,SKU-009,Almendras 200g,4,5490,21960,C-1300,Valparaíso,tienda
2026-03-03,SKU-002,Té verde 50 bolsas,2,3490,6980,C-1047,Maule,web
2026-03-03,SKU-009,Almendras 200g,4,5490,21960,C-1192,Maule,telefono
2026-03-03,SKU-006,Miel de abeja 500g,2,5990,11980,C-1285,Coquimbo,telefono
2026-03-03,SKU-006,Miel de abeja 500g,11,5990,65890,C-1151,Biobío,telefono
2026-03-03,SKU-001,Café molido 250g,11,4990,54890,C-1394,Antofagasta,marketplace
2026-03-04,SKU-002,Té verde 50 bolsas,7,3490,24430,C-1049,Biobío,marketplace
2026-03-04,SKU-005,Galletas integrales,11,1290,14190,C-1307,O'Higgins,web
